id,city,state,latitude,longitude
1510777,Alger,WA,48.6198313,-122.3412734
1379331,Algerita,TX,31.2279446,-98.8531003
1329478,Algoa,TX,29.4238472,-95.2441009
1329358,Algoa,TX,29.4024576,-95.1693760
1560759,Algoma,WI,44.6088884,-87.4325891
1578073,Algoma NE,WI,44.7455554,-87.3564830
454126,Algona,IA,43.0699663,-94.2330190
1624342,Algonac,MI,42.6183675,-82.5310180
1660243,Alhambra,CA,34.0952870,-118.1270146
1027669,Alice,ND,46.7619199,-97.5559299
1329361,Alice North,TX,27.7522487,-98.0697249
2011469,Alice South,TX,27.7403047,-98.0872253
477865,Aliceville,KS,38.1544693,-95.5519282
156393,Aliceville North,AL,33.1567901,-88.1833627
156966,Aliceville South,AL,33.0081818,-88.1486376
157201,Aliceville South,AL,33.0187374,-88.1919732
45823,Alicia,AR,35.8931295,-91.0829015
1617411,Alicia,MI,43.2708596,-84.0324739
639281,Alida,MN,47.3835673,-95.2347377
1388541,Alief,TX,29.6513439,-95.5880005
1329364,Alief,TX,29.7110641,-95.5963337
1100168,Alikchi,OK,34.1628822,-95.0691177
1204122,Aliquippa,PA,40.5156232,-80.2681161
1203869,Aliquippa,PA,40.5722891,-80.3092286
903090,Alire,NM,36.4764052,-106.5808680
899498,Alivio,NM,32.8367439,-107.0208512
1027671,Alkabo,ND,48.8628073,-103.8902069
855947,Alkali,NV,37.8257658,-117.3375837
774077,Alkali Coulee,MT,48.5014138,-104.5046771
1637859,Alkali Flat,OR,44.0812391,-120.6847314
802202,Alkali Lake,MT,46.4618819,-111.0163284
581970,Allagash,ME,47.0833691,-69.0411505
1380817,Allamoore,TX,31.0781881,-105.0035538
294648,Allanton,FL,30.0315923,-85.4576998
801988,Allard,MT,47.0389010,-104.5671754
326235,Allatoona Dam,GA,34.2200960,-84.6954903
332164,Allatoona Dam,GA,34.1914855,-84.6485447
713208,Allbright,MO,37.3289415,-90.2267785
619961,Allegan,MI,42.5291989,-85.8553031
1116873,Allegany,OR,43.4259469,-124.0323266
269317,Alleghany,CA,39.4112849,-120.8680010
256186,Alleghany,CA,39.4696185,-120.8432790
1492459,Alleghany,VA,37.7473446,-80.2403456
1553162,Alleghany,WV,37.6284581,-80.2414491
485843,Allegre,KY,36.9286542,-87.2172226
477038,Allen,KS,38.6561191,-96.1697173
532112,Allen,LA,31.8354411,-93.2885038
619966,Allen,MI,41.9569915,-84.7677394
1617876,Allen,MI,41.8836593,-84.8346834
660647,Allen,MN,47.5163128,-92.0987838
826959,Allen,NE,42.4163878,-96.8453182
